date;first_name;gender;product_name;category;price;quantity;revenue;customer_country;platform;marketing_channel;nps_score
03/03/2025;Milicent;Female;Productivity Booster Pack;Coaching Program;135;1;135;Sweden;Kajabi;TikTok;4
08/07/2024;Tom;Male;Webinar: Launch Your First Course;Webinar;66;4;264;Philippines;Direct;Instagram;10
11/08/2024;Shelby;Female;Content Calendar Pro;Coaching Program;24;2;48;Vietnam;ClickFunnels;Instagram;6
10/04/2024;Diena;Female;Webinar: Launch Your First Course;E-book;117;5;585;Indonesia;Shopify;Facebook Ads;6
8/15/2024;Elinore;Female;Webinar: Launch Your First Course;Coaching Program;112;4;448;China;Gumroad;Organic Search;10
7/30/2024;Flint;Male;Notion Second Brain;E-book;87;2;174;Oman;Teachable;Organic Search;1
04/08/2025;Kerwin;Male;Webinar: Launch Your First Course;Course;114;3;342;Russia;ClickFunnels;Email;6
12/19/2024;Rochella;Female;Content Calendar Pro;Course;20;4;80;China;ClickFunnels;Organic Search;1
4/24/2025;Salaidh;Female;Habit Tracker for Creators;Course;61;2;122;Colombia;Kajabi;Instagram;1
03/10/2025;Kathy;Female;AI Course for Beginners;Template;103;2;206;Russia;Shopify;Facebook Ads;8
8/17/2024;Lay;Male;Webinar: Launch Your First Course;Subscription;99;3;297;United States;ClickFunnels;YouTube;0
2/20/2025;Teriann;Genderqueer;Project Management Toolkit;Course;111;5;555;China;ClickFunnels;YouTube;5
12/29/2024;Jason;Bigender;Ultimate Planner Hub;Coaching Program;146;4;584;Tunisia;Teachable;YouTube;5
3/20/2025;Gian;Male;Productivity Booster Pack;Template;134;5;670;China;Teachable;Organic Search;4
03/05/2025;Dud;Male;Content Calendar Pro;Subscription;75;3;225;Iran;Direct;Organic Search;6
4/20/2025;Jamey;Male;Webinar: Launch Your First Course;E-book;19;3;57;China;Teachable;Affiliate;8
6/19/2025;Byron;Male;Habit Tracker for Creators;E-book;79;3;237;Canada;Kajabi;Instagram;6
10/23/2024;Cindee;Female;Ultimate Planner Hub;Subscription;63;5;315;Guatemala;ClickFunnels;YouTube;6
7/17/2024;Delaney;Male;AI Course for Beginners;Webinar;44;2;88;Nigeria;ClickFunnels;Email;1
11/26/2024;Daria;Female;Ultimate Planner Hub;Subscription;132;3;396;Haiti;Gumroad;TikTok;1
12/01/2024;Otho;Male;Content Calendar Pro;Webinar;46;4;184;Costa Rica;Kajabi;Email;3
01/02/2025;Hesther;Female;Project Management Toolkit;Subscription;63;3;189;Portugal;ClickFunnels;Email;8
04/08/2025;Gael;Female;Notion Second Brain;Subscription;141;2;282;Belize;Shopify;Instagram;0
6/23/2025;Inez;Female;Habit Tracker for Creators;Coaching Program;122;3;366;Sweden;Direct;Instagram;5
06/11/2025;Ade;Male;Notion Second Brain;Subscription;138;1;138;New Zealand;ClickFunnels;Paid Ads;5
03/01/2025;Doretta;Genderqueer;Project Management Toolkit;Template;55;1;55;China;Shopify;Instagram;4
7/24/2024;Anet;Female;Financial Tracker;Course;129;4;516;Norway;Shopify;YouTube;7
04/12/2025;Mace;Male;AI Course for Beginners;Template;22;3;66;United States;Direct;Paid Ads;1
10/10/2024;Celine;Female;Ultimate Planner Hub;Webinar;142;5;710;United States;Kajabi;Organic Search;2
10/20/2024;Angele;Female;Project Management Toolkit;Webinar;83;4;332;Pakistan;Direct;Facebook Ads;9
09/01/2024;Lloyd;Bigender;Notion Second Brain;Coaching Program;38;3;114;Argentina;Teachable;YouTube;8
8/15/2024;Lavina;Female;AI Course for Beginners;Course;72;2;144;Indonesia;Gumroad;Email;2
07/11/2024;Zabrina;Female;Habit Tracker for Creators;Subscription;44;4;176;Thailand;Gumroad;Paid Ads;3
6/23/2025;Lorry;Male;Ultimate Planner Hub;E-book;139;4;556;China;Kajabi;TikTok;6
2/27/2025;Ansley;Female;Masterclass: Digital Marketing;Subscription;113;3;339;Norway;Shopify;YouTube;7
06/03/2025;Norrie;Male;Webinar: Launch Your First Course;Coaching Program;66;3;198;Indonesia;Direct;Instagram;1
8/31/2024;Kylynn;Female;Masterclass: Digital Marketing;E-book;72;1;72;Indonesia;Gumroad;Affiliate;8
8/27/2024;Correna;Female;Productivity Booster Pack;Template;106;2;212;Brazil;Gumroad;Facebook Ads;3
05/04/2025;Dietrich;Male;Webinar: Launch Your First Course;Subscription;42;4;168;Iran;Gumroad;TikTok;9
7/14/2024;Kirby;Female;Masterclass: Digital Marketing;E-book;122;2;244;Israel;Shopify;Email;5
1/26/2025;Garret;Male;Ultimate Planner Hub;Subscription;118;5;590;Zambia;Gumroad;TikTok;4
05/12/2025;Abigael;Female;Project Management Toolkit;Coaching Program;36;3;108;Mayotte;Gumroad;Email;5
4/30/2025;Parry;Male;Financial Tracker;E-book;127;3;381;Czech Republic;Teachable;Paid Ads;6
7/21/2024;Bord;Male;Notion Second Brain;Coaching Program;113;2;226;China;ClickFunnels;YouTube;9
06/10/2025;Harwilll;Male;AI Course for Beginners;E-book;31;3;93;Philippines;Shopify;Paid Ads;10
03/01/2025;Bart;Male;Productivity Booster Pack;Course;100;3;300;Indonesia;Direct;Organic Search;1
12/30/2024;Florida;Female;Masterclass: Digital Marketing;Course;41;1;41;United States;Teachable;Affiliate;0
8/16/2024;Demetris;Male;Content Calendar Pro;E-book;100;5;500;Ukraine;Gumroad;Paid Ads;6
10/22/2024;Teressa;Non-binary;Masterclass: Digital Marketing;Webinar;103;2;206;China;Kajabi;Affiliate;4
2/28/2025;Lian;Female;Ultimate Planner Hub;Webinar;71;3;213;Russia;ClickFunnels;Facebook Ads;0
4/24/2025;Albertina;Female;AI Course for Beginners;E-book;132;5;660;Brazil;Kajabi;Instagram;7
06/11/2025;Shadow;Male;Project Management Toolkit;E-book;71;3;213;Argentina;ClickFunnels;Affiliate;1
3/18/2025;Cassie;Male;Ultimate Planner Hub;Course;109;5;545;United Kingdom;ClickFunnels;Email;7
11/29/2024;Celestine;Female;AI Course for Beginners;Webinar;132;1;132;Bhutan;Direct;YouTube;0
10/09/2024;Estele;Non-binary;Webinar: Launch Your First Course;Coaching Program;56;1;56;United States;Kajabi;Paid Ads;0
06/11/2025;Tremayne;Male;Habit Tracker for Creators;Webinar;115;2;230;Portugal;Teachable;Organic Search;1
2/16/2025;Lesya;Non-binary;Webinar: Launch Your First Course;E-book;77;3;231;Brazil;Direct;Organic Search;1
9/24/2024;Matteo;Male;Ultimate Planner Hub;E-book;63;4;252;Macedonia;Kajabi;Email;6
5/22/2025;Luther;Male;Financial Tracker;Subscription;41;4;164;Russia;Teachable;TikTok;10
12/23/2024;Kylynn;Female;Financial Tracker;Subscription;25;2;50;Sweden;Direct;Email;2
5/17/2025;Stanly;Male;Productivity Booster Pack;Coaching Program;77;5;385;Indonesia;Kajabi;TikTok;8
6/25/2024;Maximo;Male;Habit Tracker for Creators;E-book;75;4;300;Indonesia;Kajabi;Facebook Ads;2
05/04/2025;Hayden;Male;Habit Tracker for Creators;Webinar;27;3;81;China;Direct;Instagram;2
05/10/2025;Gino;Male;Ultimate Planner Hub;Subscription;53;4;212;Poland;Gumroad;TikTok;9
12/12/2024;Allyce;Female;Ultimate Planner Hub;Webinar;77;4;308;Indonesia;Kajabi;Instagram;6
8/29/2024;Geoff;Male;Webinar: Launch Your First Course;Subscription;86;2;172;Portugal;Direct;YouTube;3
1/29/2025;Sheila;Female;Productivity Booster Pack;Webinar;45;2;90;Ethiopia;Direct;Paid Ads;7
12/12/2024;Babb;Female;Financial Tracker;Webinar;21;1;21;Bulgaria;Shopify;Instagram;9
5/23/2025;Nikoletta;Female;Webinar: Launch Your First Course;Subscription;64;1;64;Poland;Direct;Instagram;0
2/22/2025;Ebeneser;Male;Masterclass: Digital Marketing;Course;54;2;108;Armenia;Direct;Paid Ads;10
10/08/2024;Francklin;Male;Habit Tracker for Creators;E-book;128;1;128;Indonesia;Shopify;Facebook Ads;8
4/24/2025;Welby;Male;Project Management Toolkit;Webinar;55;5;275;Indonesia;Shopify;Facebook Ads;6
10/19/2024;Toma;Genderfluid;Content Calendar Pro;Template;105;1;105;Cuba;Teachable;Affiliate;7
4/16/2025;Vinny;Female;Webinar: Launch Your First Course;Template;67;3;201;China;ClickFunnels;Affiliate;4
9/17/2024;Gordan;Male;Content Calendar Pro;Webinar;54;2;108;Kazakhstan;Gumroad;Organic Search;5
7/18/2024;Randi;Male;Project Management Toolkit;Webinar;58;3;174;Colombia;ClickFunnels;YouTube;5
12/13/2024;Bryn;Female;Productivity Booster Pack;Subscription;104;3;312;Russia;Teachable;Paid Ads;7
8/24/2024;Farlee;Male;Masterclass: Digital Marketing;Subscription;22;5;110;Portugal;Kajabi;Paid Ads;5
4/16/2025;Ulla;Female;Habit Tracker for Creators;Subscription;38;5;190;China;Gumroad;Affiliate;0
5/31/2025;Nixie;Female;Ultimate Planner Hub;E-book;89;1;89;China;Teachable;Paid Ads;8
10/30/2024;Ryun;Male;Webinar: Launch Your First Course;Webinar;107;4;428;China;Kajabi;Affiliate;6
09/12/2024;Juliane;Female;Content Calendar Pro;E-book;142;5;710;Argentina;ClickFunnels;Facebook Ads;2
2/26/2025;Weston;Male;Financial Tracker;Template;50;5;250;Canada;ClickFunnels;Facebook Ads;7
07/04/2024;Lockwood;Male;AI Course for Beginners;Webinar;46;2;92;Iran;Kajabi;Facebook Ads;7
10/05/2024;Marcellus;Male;Productivity Booster Pack;Course;21;2;42;Greece;Kajabi;Email;5
02/07/2025;Roxine;Female;Ultimate Planner Hub;E-book;68;3;204;Japan;ClickFunnels;Email;1
05/05/2025;Shepherd;Non-binary;Habit Tracker for Creators;Template;22;5;110;China;Kajabi;YouTube;1
11/14/2024;Bronson;Male;Ultimate Planner Hub;Template;26;1;26;Cuba;Gumroad;Instagram;4
5/30/2025;Carroll;Male;Financial Tracker;E-book;107;3;321;Uganda;ClickFunnels;Email;6
2/24/2025;Arlana;Female;Notion Second Brain;Course;81;2;162;Indonesia;Shopify;TikTok;1
9/29/2024;Carlyle;Male;Notion Second Brain;Template;41;1;41;Poland;Shopify;Email;5
09/07/2024;Zelig;Male;Masterclass: Digital Marketing;E-book;30;2;60;Poland;ClickFunnels;Organic Search;3
12/29/2024;Lizzy;Female;Ultimate Planner Hub;Template;59;4;236;Portugal;ClickFunnels;Organic Search;5
12/08/2024;Susanne;Female;AI Course for Beginners;Course;33;2;66;Brazil;Shopify;YouTube;10
10/10/2024;Michel;Male;Content Calendar Pro;Template;102;4;408;Indonesia;Gumroad;YouTube;4
09/09/2024;Rachel;Female;AI Course for Beginners;Course;38;5;190;Poland;ClickFunnels;Affiliate;2
07/08/2024;Torey;Female;Financial Tracker;Template;84;3;252;Indonesia;Teachable;Organic Search;6
4/26/2025;Chip;Agender;AI Course for Beginners;Course;113;5;565;Czech Republic;Shopify;Email;4
6/30/2024;Albertina;Female;Financial Tracker;Course;141;1;141;Belarus;Direct;Email;4
4/13/2025;Alaster;Male;Masterclass: Digital Marketing;Subscription;63;4;252;Portugal;Shopify;Instagram;2
01/12/2025;Susanne;Female;Habit Tracker for Creators;Webinar;76;3;228;Burkina Faso;Kajabi;Affiliate;6
1/13/2025;Maximilien;Male;Content Calendar Pro;Subscription;62;1;62;Poland;Teachable;Email;9
11/25/2024;Dory;Female;Project Management Toolkit;Coaching Program;113;5;565;Poland;Kajabi;Affiliate;10
5/18/2025;Sherill;Female;Webinar: Launch Your First Course;Subscription;135;2;270;Philippines;Direct;Email;5
07/08/2024;Arleen;Female;Masterclass: Digital Marketing;Coaching Program;91;4;364;Peru;Teachable;YouTube;8
7/21/2024;Lucas;Male;Financial Tracker;E-book;36;5;180;Indonesia;Shopify;Instagram;5
1/14/2025;Dre;Female;Ultimate Planner Hub;Coaching Program;141;2;282;Brazil;Teachable;Organic Search;5
01/12/2025;Deeyn;Agender;Financial Tracker;Webinar;135;1;135;Nicaragua;Teachable;TikTok;1
05/03/2025;Almeta;Female;Financial Tracker;Template;42;5;210;Thailand;Shopify;Paid Ads;2
6/22/2025;Lindsy;Female;Productivity Booster Pack;Template;25;4;100;United States;Shopify;Facebook Ads;0
8/31/2024;Brynne;Genderfluid;Ultimate Planner Hub;Webinar;135;3;405;Greece;Teachable;Affiliate;3
5/21/2025;Calli;Female;AI Course for Beginners;Course;73;4;292;Iraq;Teachable;Organic Search;6
07/04/2024;Magdalene;Bigender;Content Calendar Pro;Webinar;89;3;267;Philippines;Kajabi;TikTok;3
6/29/2024;Reba;Bigender;Project Management Toolkit;Coaching Program;144;2;288;Indonesia;Direct;Instagram;7
6/28/2024;Nat;Female;Notion Second Brain;Course;56;5;280;Albania;ClickFunnels;Organic Search;5
7/21/2024;Sib;Female;AI Course for Beginners;E-book;87;5;435;United States;Gumroad;Affiliate;9
7/30/2024;Nevile;Male;Ultimate Planner Hub;Webinar;84;3;252;China;Gumroad;YouTube;0
07/01/2024;Granville;Male;Content Calendar Pro;Coaching Program;22;1;22;Iran;ClickFunnels;TikTok;3
3/16/2025;Rutter;Male;Productivity Booster Pack;E-book;34;3;102;France;Shopify;Instagram;9
7/22/2024;Ignazio;Male;Project Management Toolkit;Course;94;5;470;Philippines;Direct;Paid Ads;6
12/02/2024;Vivie;Female;Financial Tracker;E-book;84;3;252;Uzbekistan;Gumroad;Affiliate;3
7/26/2024;Clarita;Female;Habit Tracker for Creators;Coaching Program;49;1;49;Sweden;Shopify;Instagram;1
05/10/2025;Fania;Female;AI Course for Beginners;E-book;25;3;75;Mauritius;Teachable;Organic Search;7
06/07/2025;Georas;Male;Productivity Booster Pack;Coaching Program;132;5;660;Philippines;Kajabi;TikTok;7
10/01/2024;Codie;Female;Notion Second Brain;Subscription;119;3;357;Poland;Teachable;Paid Ads;7
05/04/2025;Allsun;Female;Financial Tracker;Course;116;5;580;China;Direct;Affiliate;3
6/16/2025;Brena;Female;Webinar: Launch Your First Course;Course;103;3;309;Russia;Shopify;TikTok;4
10/30/2024;Clifford;Male;AI Course for Beginners;E-book;23;1;23;Croatia;Direct;Facebook Ads;8
07/07/2024;Gerda;Female;Content Calendar Pro;Coaching Program;46;1;46;Argentina;Teachable;Paid Ads;9
12/07/2024;Noe;Male;Ultimate Planner Hub;Webinar;19;5;95;Moldova;ClickFunnels;Paid Ads;8
12/27/2024;Krista;Female;Habit Tracker for Creators;Coaching Program;114;5;570;Indonesia;Direct;Email;6
03/10/2025;Marjie;Female;AI Course for Beginners;Webinar;136;3;408;United States;Shopify;Organic Search;10
11/07/2024;Prescott;Male;Content Calendar Pro;Template;137;3;411;Netherlands;Teachable;Instagram;8
09/06/2024;Delcina;Female;Financial Tracker;Template;66;1;66;Iran;Teachable;YouTube;2
8/25/2024;Dyann;Female;Habit Tracker for Creators;Template;129;3;387;Nicaragua;Teachable;Affiliate;6
3/19/2025;Witty;Male;Project Management Toolkit;Subscription;78;4;312;France;Gumroad;Affiliate;1
06/09/2025;Twyla;Female;Webinar: Launch Your First Course;E-book;63;3;189;Luxembourg;Teachable;Organic Search;1
05/12/2025;Shem;Male;Productivity Booster Pack;Template;83;4;332;Philippines;Direct;Facebook Ads;1
06/06/2025;Maury;Male;Webinar: Launch Your First Course;Template;64;2;128;France;Gumroad;Facebook Ads;5
12/14/2024;Jordan;Male;Project Management Toolkit;Coaching Program;133;5;665;Nicaragua;ClickFunnels;Paid Ads;2
2/28/2025;Yolane;Female;Masterclass: Digital Marketing;E-book;59;5;295;Japan;Teachable;Instagram;7
3/19/2025;Siward;Male;Productivity Booster Pack;Coaching Program;127;1;127;Indonesia;Kajabi;Paid Ads;5
01/12/2025;Ameline;Female;Habit Tracker for Creators;Webinar;145;5;725;Sweden;Shopify;Affiliate;7
12/04/2024;Verge;Male;AI Course for Beginners;Coaching Program;139;2;278;Philippines;Kajabi;TikTok;9
1/20/2025;Galven;Male;Webinar: Launch Your First Course;E-book;122;5;610;Denmark;Direct;Paid Ads;7
04/12/2025;Dewie;Male;Content Calendar Pro;Course;123;5;615;Peru;ClickFunnels;Facebook Ads;2
11/09/2024;Dulsea;Female;Notion Second Brain;Subscription;127;2;254;China;Gumroad;Facebook Ads;9
8/14/2024;Skippy;Male;Ultimate Planner Hub;Subscription;52;4;208;Mexico;Gumroad;Affiliate;0
03/03/2025;Roseann;Female;AI Course for Beginners;Webinar;101;5;505;Portugal;Direct;Paid Ads;4
9/19/2024;Tatum;Female;AI Course for Beginners;E-book;91;4;364;Serbia;Direct;Instagram;1
4/29/2025;Ethelda;Female;Project Management Toolkit;E-book;66;5;330;Poland;Gumroad;Affiliate;1
5/15/2025;Ludovika;Female;Financial Tracker;Webinar;56;4;224;China;ClickFunnels;Paid Ads;5
5/19/2025;Malvina;Female;Productivity Booster Pack;Template;130;1;130;Lithuania;Shopify;Affiliate;5
06/12/2025;Clarence;Male;Masterclass: Digital Marketing;Subscription;31;1;31;Poland;Kajabi;Instagram;10
02/03/2025;Garvin;Male;Content Calendar Pro;E-book;111;4;444;United Kingdom;Kajabi;Instagram;10
03/04/2025;Hanna;Female;Notion Second Brain;Template;41;5;205;Honduras;Direct;Facebook Ads;0
8/18/2024;Milo;Polygender;Project Management Toolkit;Course;39;3;117;Iran;ClickFunnels;Email;3
3/31/2025;Minnie;Female;Notion Second Brain;E-book;20;2;40;China;Kajabi;Facebook Ads;3
10/11/2024;Dani;Female;Financial Tracker;E-book;28;1;28;Mozambique;Gumroad;Email;7
2/14/2025;Sydney;Agender;Masterclass: Digital Marketing;Course;23;2;46;Portugal;ClickFunnels;Instagram;3
02/05/2025;Rosemarie;Female;AI Course for Beginners;Template;112;2;224;China;Gumroad;Affiliate;4
9/27/2024;Charin;Female;Productivity Booster Pack;Template;79;3;237;Malaysia;Gumroad;YouTube;5
7/22/2024;Logan;Non-binary;Notion Second Brain;Template;38;5;190;Belarus;Gumroad;Instagram;1
1/28/2025;Lorry;Female;Project Management Toolkit;E-book;27;4;108;China;Shopify;Email;5
04/01/2025;Larry;Male;Content Calendar Pro;Template;30;1;30;Brazil;Direct;Facebook Ads;1
8/31/2024;Saundra;Male;Content Calendar Pro;Course;123;4;492;China;Kajabi;Facebook Ads;4
06/05/2025;Garvin;Male;Webinar: Launch Your First Course;Subscription;127;3;381;Martinique;ClickFunnels;Organic Search;7
07/06/2024;Elwyn;Male;Webinar: Launch Your First Course;Subscription;69;2;138;Russia;ClickFunnels;Instagram;4
6/30/2024;Allard;Male;Notion Second Brain;E-book;50;5;250;Russia;ClickFunnels;Facebook Ads;6
12/24/2024;Hadria;Female;Masterclass: Digital Marketing;Course;121;3;363;Indonesia;Gumroad;Email;1
4/28/2025;Walden;Male;Masterclass: Digital Marketing;Subscription;85;3;255;Peru;Gumroad;Instagram;8
05/07/2025;Abbey;Male;Productivity Booster Pack;E-book;88;4;352;China;Gumroad;Paid Ads;4
5/28/2025;Siward;Male;Webinar: Launch Your First Course;Webinar;67;4;268;Yemen;Direct;Affiliate;4
6/13/2025;Gunner;Male;Content Calendar Pro;Subscription;23;3;69;China;Gumroad;Paid Ads;10
12/12/2024;Dix;Female;Webinar: Launch Your First Course;Template;58;2;116;Malawi;Gumroad;TikTok;1
5/26/2025;Cori;Male;Habit Tracker for Creators;Coaching Program;88;3;264;Brazil;Gumroad;Facebook Ads;7
01/01/2025;Maureen;Female;Project Management Toolkit;Subscription;92;1;92;Greece;Direct;Organic Search;2
1/25/2025;Konstance;Female;Project Management Toolkit;Course;138;4;552;Palestinian Territory;ClickFunnels;TikTok;9
9/18/2024;Ashli;Female;Habit Tracker for Creators;Subscription;108;4;432;China;Shopify;Instagram;6
11/14/2024;Bealle;Male;Project Management Toolkit;Template;118;2;236;China;Direct;Facebook Ads;10
1/26/2025;Margot;Female;Content Calendar Pro;Subscription;52;5;260;Indonesia;Gumroad;Paid Ads;1
6/25/2024;Sarajane;Female;Notion Second Brain;Course;131;3;393;Greece;Direct;YouTube;2
10/17/2024;Alejandro;Male;Webinar: Launch Your First Course;Webinar;55;5;275;Serbia;Direct;Email;8
08/02/2024;Andy;Male;Notion Second Brain;E-book;36;5;180;Ukraine;Kajabi;Paid Ads;5
03/01/2025;Garland;Agender;Notion Second Brain;Course;143;1;143;Indonesia;Teachable;YouTube;1
6/21/2025;Stu;Male;Project Management Toolkit;Template;146;2;292;Russia;Teachable;YouTube;8
1/20/2025;Rozalin;Agender;Masterclass: Digital Marketing;Subscription;119;2;238;Mongolia;Gumroad;Affiliate;1
12/15/2024;Valencia;Female;Project Management Toolkit;Course;79;1;79;Egypt;Direct;Organic Search;8
4/24/2025;Gunther;Male;Habit Tracker for Creators;Template;116;3;348;Indonesia;Kajabi;TikTok;9
10/28/2024;Robbyn;Female;Financial Tracker;Course;136;3;408;China;Shopify;Instagram;5
12/27/2024;Gareth;Male;Productivity Booster Pack;Course;23;1;23;Brazil;Kajabi;Email;1
4/18/2025;Damita;Female;Financial Tracker;Webinar;124;2;248;Ukraine;Shopify;Instagram;7
06/07/2025;Nick;Male;Financial Tracker;Subscription;113;1;113;China;ClickFunnels;YouTube;9
6/23/2025;Hinda;Female;Habit Tracker for Creators;Webinar;78;4;312;United States;Gumroad;Organic Search;7
7/22/2024;Dacy;Female;Productivity Booster Pack;Subscription;47;4;188;Poland;ClickFunnels;Affiliate;2
7/21/2024;Nicholle;Female;Webinar: Launch Your First Course;Template;91;5;455;Uzbekistan;Gumroad;TikTok;10
4/22/2025;Dennison;Male;Habit Tracker for Creators;E-book;85;2;170;Greece;Teachable;TikTok;5
1/19/2025;Humfrid;Male;Ultimate Planner Hub;Course;88;3;264;Greece;Direct;Paid Ads;9
4/22/2025;Madella;Female;Financial Tracker;Template;104;4;416;Brazil;Teachable;Instagram;1
09/10/2024;Annalise;Female;AI Course for Beginners;Course;68;3;204;Equatorial Guinea;Direct;YouTube;6
8/29/2024;Giselle;Female;AI Course for Beginners;Webinar;116;5;580;Poland;Kajabi;Email;3
9/25/2024;Averyl;Female;Masterclass: Digital Marketing;E-book;82;2;164;Netherlands;Gumroad;Facebook Ads;2
03/04/2025;Burgess;Male;Ultimate Planner Hub;Subscription;68;1;68;Peru;Kajabi;Instagram;2
02/02/2025;Caroline;Polygender;Masterclass: Digital Marketing;Webinar;88;1;88;Greece;Kajabi;Organic Search;5
1/27/2025;Walden;Male;Project Management Toolkit;Template;54;3;162;Russia;Shopify;Facebook Ads;7
8/17/2024;Connie;Female;Productivity Booster Pack;Template;70;2;140;China;Kajabi;Affiliate;8
06/07/2025;Tadeas;Male;Content Calendar Pro;Template;29;1;29;China;Kajabi;YouTube;7
1/17/2025;Marnie;Female;Notion Second Brain;Course;124;1;124;Philippines;ClickFunnels;Paid Ads;8
7/21/2024;Heall;Male;Financial Tracker;E-book;97;3;291;Brazil;Teachable;Paid Ads;4
12/13/2024;Lelah;Female;Content Calendar Pro;Course;45;3;135;Philippines;ClickFunnels;Paid Ads;4
03/07/2025;Sam;Genderqueer;Habit Tracker for Creators;Template;68;3;204;Canada;Gumroad;Instagram;10
7/28/2024;Fields;Male;Financial Tracker;E-book;38;4;152;Czech Republic;Direct;Organic Search;2
04/06/2025;Archer;Male;Notion Second Brain;Coaching Program;99;3;297;Indonesia;ClickFunnels;Affiliate;5
